stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Leon\source\repos\JogoEmAllegro\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Leon\source\repos\JogoEmAllegro\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:271  al_install_system                [   0.00000] Allegro version: 5.2.9
dtor     D               dtor.c:196  _al_register_destructor          [   0.00038] added dtor for bitmap 000002284C29E2A0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00107] added dtor for bitmap 000002284C2A18C0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00467] added dtor for bitmap 000002284C2A1DF0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00484] added dtor for sub_bitmap 000002284C32B260, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00488] added dtor for sub_bitmap 000002284C32B450, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00491] added dtor for sub_bitmap 000002284C32B640, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00495] added dtor for sub_bitmap 000002284C32B830, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00498] added dtor for sub_bitmap 000002284C32BA20, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00502] added dtor for sub_bitmap 000002284C32BC10, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00505] added dtor for sub_bitmap 000002284C32BE00, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00508] added dtor for sub_bitmap 000002284C32BFF0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00512] added dtor for sub_bitmap 000002284C32C1E0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00515] added dtor for sub_bitmap 000002284C32C3D0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00519] added dtor for sub_bitmap 000002284C32C5C0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00522] added dtor for sub_bitmap 000002284C32C7B0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00526] added dtor for sub_bitmap 000002284C32C9A0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00529] added dtor for sub_bitmap 000002284C32CB90, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00533] added dtor for sub_bitmap 000002284C32D970, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00537] added dtor for sub_bitmap 000002284C32D590, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00540] added dtor for sub_bitmap 000002284C32D780, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00544] added dtor for sub_bitmap 000002284C32DB60, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00547] added dtor for sub_bitmap 000002284C32CDD0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00551] added dtor for sub_bitmap 000002284C32CFC0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00560] added dtor for sub_bitmap 000002284C32D1B0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00564] added dtor for sub_bitmap 000002284C32D3A0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00569] added dtor for sub_bitmap 000002284C32F140, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00572] added dtor for sub_bitmap 000002284C32E1C0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00576] added dtor for sub_bitmap 000002284C32E5A0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00579] added dtor for sub_bitmap 000002284C32DDE0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00583] added dtor for sub_bitmap 000002284C32E3B0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00587] added dtor for sub_bitmap 000002284C32E790, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00590] added dtor for sub_bitmap 000002284C32F330, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00594] added dtor for sub_bitmap 000002284C32F520, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00597] added dtor for sub_bitmap 000002284C32F710, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00600] added dtor for sub_bitmap 000002284C32F900, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00605] added dtor for sub_bitmap 000002284C32DFD0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00609] added dtor for sub_bitmap 000002284C32EB70, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00612] added dtor for sub_bitmap 000002284C32FAF0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00616] added dtor for sub_bitmap 000002284C32ED60, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00619] added dtor for sub_bitmap 000002284C32E980, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00623] added dtor for sub_bitmap 000002284C32EF50, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00627] added dtor for sub_bitmap 000002284C3329B0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00631] added dtor for sub_bitmap 000002284C3327C0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00634] added dtor for sub_bitmap 000002284C331E10, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00638] added dtor for sub_bitmap 000002284C332000, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00641] added dtor for sub_bitmap 000002284C332BA0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00645] added dtor for sub_bitmap 000002284C332D90, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00648] added dtor for sub_bitmap 000002284C332F80, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00652] added dtor for sub_bitmap 000002284C333170, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00655] added dtor for sub_bitmap 000002284C3325D0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00659] added dtor for sub_bitmap 000002284C3321F0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00663] added dtor for sub_bitmap 000002284C3323E0, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00667] added dtor for sub_bitmap 000002284C333360, func 00007FFC7D5C118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00670] added dtor for sub_bitmap 000002284C333550, func 00007FFC7D5C118B
